epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3377.88,0.99968,2.96685,1.27519,0.63907,0.55014,0.5957,0.40799,1.00435,2.00287,1.21855,0.000138612,0.000138612,0.000138612
2,6676.16,1.07972,2.15355,1.33438,0.63977,0.54349,0.57989,0.38618,1.10597,1.93849,1.31115,0.000250128,0.000250128,0.000250128
3,10572.7,1.11643,2.04807,1.36301,0.6061,0.51778,0.54591,0.35699,1.13928,1.89516,1.33721,0.000334123,0.000334123,0.000334123
4,14715.8,1.10737,1.91246,1.35702,0.65103,0.53909,0.59138,0.395,1.10797,1.73943,1.32129,0.000293151,0.000293151,0.000293151
5,19029.2,1.06576,1.73225,1.32798,0.69665,0.56149,0.62166,0.41525,1.0993,1.62114,1.31036,0.000251868,0.000251868,0.000251868
6,22495.9,1.03644,1.59449,1.30002,0.72139,0.59076,0.65253,0.45824,1.04249,1.48084,1.2589,0.000210585,0.000210585,0.000210585
7,26087.4,0.98684,1.45057,1.26312,0.73907,0.60711,0.67642,0.47388,1.03627,1.41507,1.25181,0.000169302,0.000169302,0.000169302
8,30218.4,0.95554,1.36068,1.23667,0.73969,0.62739,0.68709,0.48734,1.00233,1.34021,1.22366,0.000128019,0.000128019,0.000128019
9,34642.1,0.92478,1.26864,1.21579,0.77218,0.63124,0.70694,0.50626,0.98509,1.28251,1.20755,8.6736e-05,8.6736e-05,8.6736e-05
10,38880.8,0.89155,1.1934,1.18215,0.78802,0.63606,0.71993,0.51909,0.96877,1.24318,1.1971,4.5453e-05,4.5453e-05,4.5453e-05
